"senator_name","start_date","end_date","description","amount","salary_flag","State","St.Abrv","Party"
"A. MITCHELL MCCONNELL, JR.",2020-08-05,2020-08-28,"STAFF TRANSPORTATION",90.16,1,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",2020-08-03,2020-08-31,"STAFF TRANSPORTATION",124.88,1,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",2020-08-10,2020-08-28,"STAFF TRANSPORTATION",397.6,1,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",2020-08-04,2020-08-31,"STAFF TRANSPORTATION",126,1,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",2020-08-21,2020-08-27,"STAFF TRANSPORTATION",125.6,1,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",2020-08-17,2020-08-25,"STAFF TRANSPORTATION",188.72,1,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",2020-08-03,2020-08-27,"STAFF TRANSPORTATION",168.56,1,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",2020-08-04,2020-08-31,"STAFF TRANSPORTATION",1391.04,1,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",2020-08-03,2020-08-31,"STAFF TRANSPORTATION",829.92,1,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",2020-08-12,2020-08-26,"STAFF TRANSPORTATION",36.4,1,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",2020-08-03,2020-08-28,"STAFF TRANSPORTATION",922.88,1,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",2020-08-13,2020-08-13,"STAFF TRANSPORTATION",3.14,1,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",2020-08-10,2020-08-13,"STAFF TRANSPORTATION",159.88,1,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",2020-08-27,2020-08-29,"PER DIEM",11.53,1,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",2020-08-27,2020-08-29,"STAFF TRANSPORTATION",93.66,1,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",2020-07-31,2020-08-29,"SENATOR'S TRANSPORTATION + AIRFARE FOR THE FOLLOWING: 7/31, 8/7 SEN MCCONNELL, 8/26 K CORNER WASHINGTON DC TO + LOUISVILLE; 8/20- 29 D CAMERON WASHINGTON DC TO LOUISVILLE AND RETURN",418.2,1,"Kentucky","KY","R"
